Assay Type	IEDB Assay ID	Method/Technique	Measurement Of	Units	Tree View Name	Ontology ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Axiom Count	Logical Note	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	has specified input some material entity plays role 'positive reference substance role'	Term Editor	Definition Source	Curator Comment	Curation Status	Comment	Synonyms				
TCell	300	biological activity	T cell help		T cell help	OBI:0001263	T cell help|biological activity	biological activity assay measuring epitope specific helper T cell enhancement of a T cell mediated immune response	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance a T cell response.	2		equivalent	biological activity assay measuring epitope specific T cell helper activity					helper T cell enhancement of T cell mediated immune response		helper T cell enhancement of T cell mediated immune response				PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, enhancement of T cell response				
TCell	parent	biological activity	TGFb release		TGFb	OBI:0001264	TGFb release|biological activity	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	A T cell epitope specific cytokine production assay that detects transforming growth factor-beta production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					transforming growth factor beta production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				TGFb release, any method, TGFb, transforming growth factor, beta				
TCell	323	RNA/DNA detection	IL-12 release		RNA/DNA	OBI:0001268	IL-12 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-12 production by T cells	An assay of epitope specific interleukin-12 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-12 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	169	biological activity	degranulation		degranulation	OBI:0001269	degranulation|biological activity	biological activity assay measuring epitope specific cytotoxic T cell degranulation	A T cell epitope dependent biological activity assay that detects cytotoxic T cell degranulation.	1		equivalent	assay measuring T cell epitope specific biological activity					cytotoxic T cell degranulation						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, cytotoxic T cell degranulation				
TCell	382	bioassay	TGFb release		bioassay	OBI:0001270	TGFb release|bioassay	cell culture analyte detection bioassay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	52	ELISPOT	TNF release		ELISPOT	OBI:0001272	TNF release|ELISPOT	ELISPOT assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses an ELISPOT assay.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	enzyme-linked immunospot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISPOT, cytokine release				
TCell	65	bioassay	IL-5 release		bioassay	OBI:0001273	IL-5 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	parent	biological activity	CCL1/TCA-3 release		CCL1/TCA-3	OBI:0001276	CCL1/TCA-3 release|biological activity	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	A T cell epitope specific cytokine production assay that detects production of chemokine (C-C motif) ligand 1 by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 1 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				CCL1,TCA-3 release, any method, TCA3, TCA 3, Chemokine (C-C motif) ligand, T cell activation				
TCell	279	RNA/DNA detection	IL-2 release		RNA/DNA	OBI:0001277	IL-2 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-2 production by T cells	An assay of epitope specific interleukin-2 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-2 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	375	RNA/DNA detection	IL-22 release		RNA/DNA	OBI:0001279	IL-22 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-22 production by T cells	An assay of epitope specific interleukin-22 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-22 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	parent	biological activity	IL-16 release		IL-16	OBI:0001280	IL-16 release|biological activity	biological activity assay measuring epitope specific interleukin-16 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-16 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-16 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-16 release, any method, IL-16, IL16, IL 16, interleukin				
TCell	405	ELISA	CXCL10/IP-10 release		ELISA	OBI:0001281	CXCL10/IP-10 release|ELISA	ELISA measuring epitope specific IP-10 production by T cells	An assay of epitope specific IP-10 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific IP-10 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	389	ELISA	IL-15 release		ELISA	OBI:0001283	IL-15 release|ELISA	ELISA measuring epitope specific interleukin-15 production by T cells	An assay of epitope specific interleukin-15 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-15 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	387	cytometric bead array	IL-12 release		bead array	OBI:0001284	IL-12 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-12 production by T cells	An assay of epitope specific interleukin-12 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-12 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	391	ELISA	lymphotoxin A/TNFb release		ELISA	OBI:0001288	lymphotoxin A/TNFb release|ELISA	ELISA measuring epitope specific lymphotoxin A production by T cells	An assay of epitope specific lymphotoxin A production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific lymphotoxin A production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	324	cytometric bead array	IL-5 release		bead array	OBI:0001289	IL-5 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	369	RNA/DNA detection	IL-17 release		RNA/DNA	OBI:0001291	IL-17 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17 production by T cells	An assay of epitope specific interleukin-17 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-17 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	parent	biological activity	IL-15 release		IL-15	OBI:0001292	IL-15 release|biological activity	biological activity assay measuring epitope specific interleukin-15 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-15 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-15 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-15 release, any method, IL-15, IL 15, IL15, interleukin				
TCell	parent	biological activity	IL-17 release		IL-17	OBI:0001295	IL-17 release|biological activity	biological activity assay measuring epitope specific interleukin-17 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-17 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-17 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-17 release, any method, IL17, IL-17, IL 17, interleukin				
TCell	362	cytometric bead array	IL-17 release		bead array	OBI:0001296	IL-17 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-17 production by T cells	An assay of epitope specific interleukin-17 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-17 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	368	cytometric bead array	IL-10 release		bead array	OBI:0001297	IL-10 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-10 production by T cells	An assay of epitope specific interleukin-10 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-10 production by T cells	cytometric bead array assay										IEDB	IEDB				cytometric bead array, cytokine release, CBA				
TCell	370	RNA/DNA detection	IL-21 release		RNA/DNA	OBI:0001298	IL-21 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-21 production by T cells	An assay of epitope specific interleukin-21 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-21 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	339	ICS	IL-5 release		ICS	OBI:0001299	IL-5 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
