Accession	IEDB Disease ID	Disease Name																								
DOID:9169	343	Wiskott-Aldrich syndrome																								
DOID:9181	344	amebiasis																								
DOID:9182	345	pemphigus																								
DOID:9201	346	lichen planus																								
DOID:9261	348	nasopharynx carcinoma																								
DOID:934	349	viral infectious disease																								
DOID:9352	351	type 2 diabetes mellitus																								
DOID:9415	353	allergic asthma																								
DOID:9470	355	bacterial meningitis																								
DOID:9471	356	meningitis																								
DOID:9477	357	pulmonary embolism																								
DOID:9531	359	latent syphilis																								
DOID:9537	360	Lassa fever																								
DOID:9538	361	multiple myeloma																								
DOID:9643	363	babesiosis																								
DOID:9682	364	yellow fever																								
DOID:9744	365	type 1 diabetes mellitus																								
DOID:9784	366	trichinosis																								
DOID:9808	367	Goodpasture syndrome																								
DOID:9810	368	polyarteritis nodosa																								
DOID:8481	369	rheumatic myocarditis																								
DOID:986	370	alopecia areata																								
DOID:9861	371	miliary tuberculosis																								
DOID:9884	373	muscular dystrophy																								
DOID:990	374	congenital heart block																								
DOID:9965	375	toxoplasmosis																								
ONTIE:0003432	376	experimental autoimmune ovarian disease (oophoritis)																								
ONTIE:0003433	378	experimental autoimmune uveitis (EAU)																								
ONTIE:0003434	379	experimental autoimmune neuritis (EAN)																								
ONTIE:0003435	380	experimental autoimmune encephalomyelitis (EAE)																								
ONTIE:0003436	381	experimental autoimmune myasthenia gravis (EAMG)																								
ONTIE:0003437	382	experimental autoimmune glomerulonephritis (EAG)																								
ONTIE:0003438	383	experimental Graves' disease																								
ONTIE:0003439	384	experimental autoimmune myocarditis (EAM)																								
ONTIE:0003440	385	experimental immune-mediated cholangiopathy																								
ONTIE:0003441	386	experimental autoimmune sensorineural hearing loss																								
ONTIE:0003442	387	experimental autoimmune thyroiditis (EAT)																								
ONTIE:0003542	388	additional diseases by category																								
ONTIE:0003423	389	healthy																								
ONTIE:0003421	391	transplant-related disease and allo-reactivity																								
DOID:0060502	393	gastrointestinal allergy																								
DOID:0060496	394	respiratory allergy																								
ONTIE:0003428	396	animal model of autoimmune disease																								
DOID:0060050	397	autoimmune disease of blood																								
DOID:0060051	398	autoimmune disease of cardiovascular system																								
DOID:0060004	399	autoimmune disease of central nervous system																								
DOID:0060030	400	autoimmune disease of eyes, ear, nose and throat																								
DOID:0060005	401	autoimmune disease of endocrine system																								
DOID:0060029	402	autoimmune disease of exocrine system																								
DOID:0060031	403	autoimmune disease of gastrointestinal tract																								
DOID:0060032	404	autoimmune disease of musculoskeletal system																								
DOID:0060033	405	autoimmune disease of peripheral nervous system																								
DOID:0060039	406	autoimmune disease of skin and connective tissue																								
DOID:0060049	408	autoimmune disease of urogenital tract																								
DOID:0050167	409	autoimmune polyendocrine syndrome type 1																								
DOID:0040092	414	juvenile ankylosing spondylitis																								
DOID:0050169	415	cutaneous lupus erythematosus																								
DOID:0040100	418	Hirata disease																								
DOID:0040093	425	drug-induced lupus erythematosus																								
DOID:0050214	428	Lambert-Eaton myasthenic syndrome																								
DOID:0040089	429	autoimmune optic neuritis																								
DOID:0040088	430	autoimmune uveitis																								
DOID:0040096	432	autoimmune atherosclerosis																								
DOID:2917	434	cryoglobulinemia																								
DOID:0040094	435	autoimmune glomerulonephritis																								
DOID:0040095	437	autoimmune cardiomyopathy																								
DOID:0040090	438	autoimmune gastritis																								
DOID:14735	441	hereditary angioedema																								
DOID:8893	445	psoriasis																								
ONTIE:0003429	446	experimental arthritis																								
ONTIE:0003430	447	collagen-induced arthritis (CIA)																								
ONTIE:0003431	448	adjuvant-induced arthritis (AIA)																								
DOID:0040097	456	autoimmune vasculitis																								
DOID:13450	458	coccidioidomycosis																								
DOID:13198	459	endemic goiter																								
DOID:110	462	lens disease																								
DOID:0040091	465	autoimmune pancreatitis																								
DOID:0040099	466	livedoid vasculitis																								
ONTIE:0003422	470	rejection of transplanted organs and tissues																								
DOID:0060060	473	non-Hodgkin lymphoma																								
DOID:0050747	475	lymphoplasmacytic lymphoma																								
DOID:13197	476	nodular goiter																								
DOID:8805	477	intermediate coronary syndrome																								
DOID:4362	482	cervical cancer																								
DOID:0050598	484	extrapulmonary tuberculosis																								
DOID:0040086	499	Polyomavirus-associated nephropathy																								
DOID:0050523	504	adult T-cell leukemia																								
DOID:10952	507	nephritis																								
DOID:4676	510	uremia																								
ONTIE:0003425	517	asymptomatic HIV infection																								
ONTIE:0003426	518	human T-lymphotropic virus 1 carrier																								
DOID:77	522	gastrointestinal system disease																								
DOID:2891	523	thyroid adenoma																								
DOID:114	524	heart disease																								
DOID:5844	525	myocardial infarction																								
DOID:12531	527	von Willebrand's disease																								
DOID:1459	529	hypothyroidism																								
DOID:1080	532	filariasis																								
DOID:1679	533	cystitis																								
DOID:74	537	hematopoietic system disease																								
DOID:28	540	endocrine system disease																								
DOID:17	544	musculoskeletal system disease																								
DOID:574	545	peripheral nervous system disease																								
DOID:1579	546	respiratory system disease																								
ONTIE:0003543	555	host health status																								
DOID:3044	556	food allergy																								
DOID:12365	557	malaria																								
DOID:1389	560	polyneuropathy																								
DOID:14250	561	Down syndrome																								
DOID:2044	562	drug-induced hepatitis																								
DOID:231	563	motor neuron disease																								
DOID:2799	564	bronchiolitis obliterans																								
DOID:4971	565	myelofibrosis																								
DOID:681	566	progressive bulbar palsy																								
DOID:893	567	Wilson disease																								
DOID:9245	568	Alagille syndrome																								
DOID:8283	572	peritonitis																								
DOID:10113	574	trypanosomiasis																								
DOID:9008	575	psoriatic arthritis																								
DOID:332	576	amyotrophic lateral sclerosis																								
DOID:8681	577	paraneoplastic polyneuropathy																								
DOID:9120	578	amyloidosis																								
DOID:5052	580	melioidosis																								
ONTIE:0003443	581	experimental autoimmune prostatitis																								
DOID:0050638	582	transthyretin amyloidosis																								
DOID:0050012	584	chikungunya																								
DOID:104	585	bacterial infectious disease																								
DOID:1564	586	fungal infectious disease																								
DOID:8986	589	narcolepsy																								
DOID:1733	590	cryptosporidiosis																								
DOID:0060478	591	Zika fever																								
DOID:1926	592	Gaucher's disease																								
DOID:6713	593	cerebrovascular disease																								
DOID:13372	594	alpha 1-antitrypsin deficiency																								
DOID:0060500	595	drug allergy																								
DOID:0060520	596	penicillin allergy																								
DOID:14268	597	sclerosing cholangitis																								
DOID:0040085	598	bacterial sepsis																								
DOID:0060499	599	autoimmune neuropathy																								
DOID:0014667	600	disease of metabolism																								
DOID:0040001	601	shrimp allergy																								
DOID:0040002	602	aspirin allergy																								
DOID:0040003	603	benzylpenicillin allergy																								
DOID:0040004	604	amoxicillin allergy																								
DOID:0040005	605	ceftriaxone allergy																								
DOID:0040006	606	carbamazepine allergy																								
DOID:0040007	607	abacavir allergy																								
DOID:0040008	608	isoniazide allergy																								
DOID:0040009	609	lidocaine allergy																								
DOID:0040010	610	mepivacaine allergy																								
DOID:0040011	611	phenobarbital allergy																								
DOID:0040012	612	phenytoin allergy																								
DOID:0040013	613	ranitidine allergy																								
DOID:0040014	614	corticosteroid allergy																								
DOID:0040015	615	sulfonamide allergy																								
DOID:0040016	616	sulfamethoxazole allergy																								
DOID:0040017	617	suprofen allergy																								
DOID:0040018	618	thiopental allergy																								
DOID:0040019	619	D-mannitol allergy																								
DOID:0040020	620	cefotaxime allergy																								
DOID:0040021	621	cephalosporin allergy																								
DOID:0040022	622	amodiaquine allergy																								
DOID:0040023	623	cefaclor allergy																								
DOID:0040024	624	ceftazidime allergy																								
DOID:0040025	625	cefuroxime allergy																								
DOID:0040026	626	chlorhexidine allergy																								
DOID:0040027	627	cyclophosphamide allergy																								
DOID:0040028	628	succinylcholine allergy																								
DOID:0040029	629	trimethoprim allergy																								
DOID:0040030	630	cefixime allergy																								
DOID:0040031	631	diclofenac allergy																								
DOID:0040032	632	carbapenem allergy																								
DOID:0040033	633	piperacillin allergy																								
DOID:0040034	634	rocuronium allergy																								
DOID:0040035	635	sulfasalazine allergy																								
DOID:0040036	636	tubocurarine allergy																								
DOID:0040037	637	aztreonam allergy																								
DOID:0040038	638	meropenem allergy																								
DOID:0040040	639	hexamethylene diisocyanate allergic asthma																								
DOID:0040041	640	isocyanates allergic asthma																								
DOID:0040042	641	diphenylmethane-4,4'-diisocyanate allergic asthma																								
DOID:0040043	642	toluene meta-diisocyanate allergic asthma																								
DOID:0040044	643	methyl isocyanate allergic asthma																								
DOID:0040045	644	nickel allergic asthma																								
DOID:0040046	645	nickel allergic contact dermatitis																								
DOID:0040047	646	trimellitic anhydride allergic asthma																								
DOID:0040048	647	phthalic anhydride allergic asthma																								
DOID:0040049	648	maleic anhydride allergic asthma																								
DOID:0040050	649	tetrachlorophthalic anhydride allergic asthma																								
DOID:0040051	650	hexahydrophthalic anhydride allergic asthma																								
DOID:0040052	651	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis																								
DOID:0040053	652	cobalt allergic contact dermatitis																								
DOID:0040054	653	cobalt allergic asthma																								
DOID:0040055	654	palladium allergic contact dermatitis																								
DOID:0040056	655	chromium allergic contact dermatitis																								
DOID:0040057	656	benzoic acid allergic contact dermatitis																								
DOID:0040058	657	1,4-phenylenediamine allergic contact dermatitis																								
DOID:0040059	658	potassium dichromate allergic contact dermatitis																								
DOID:0040060	659	ketoprofen photoallergic dermatitis																								
DOID:0040061	660	remazole black respiratory allergy																								
DOID:0040062	661	chloramine T respiratory allergy																								
DOID:0040063	662	4-vinylcyclohexene dioxide respiratory allergy																								
DOID:0040064	663	carvone allergic contact dermatitis																								
DOID:0040065	664	quinidine allergy																								
DOID:0040066	665	melphalan allergy																								
DOID:0040067	666	neomycin sulfate allergic contact dermatitis																								
DOID:0040068	667	4-tert-butylphenol allergic contact dermatitis																								
DOID:0040069	668	1-chloro-2,4-dinitrobenzene allergic contact dermatitis																								
DOID:0040070	669	co-trimoxazole allergy																								
DOID:0040071	670	sodium aurothiomalate allergy																								
DOID:0040072	671	parthenolide allergic contact dermatitis																								
DOID:0040073	672	disodium cromoglycate allergy																								
DOID:0040074	673	formaldehyde allergic contact dermatitis																								
DOID:0040075	674	benzo[d]isothiazol-3-one allergic contact dermatitis																								
DOID:0040076	675	phthalyl group allergy																								
DOID:0040077	676	alcuronium bromide allergy																								
DOID:0040078	677	gallamine allergy																								
DOID:0040079	678	2,4-dinitrophenyl allergic contact dermatitis																								
DOID:0040080	679	patent blue V allergy																								
DOID:0040081	680	acid anhydride respiratory allergy																								
DOID:0040082	681	oxirane allergy																								
DOID:0040083	682	Chlamydia pneumonia																								
DOID:0040084	683	Streptococcus pneumonia																								
DOID:0040087	684	autoimmune peripheral neuropathy																								
DOID:0040098	685	pemphigus gestationis																								
DOID:0040101	686	N,N'-diphenylthiourea allergic contact dermatitis																								
DOID:0040102	687	N,N'-diethylthiourea allergic contact dermatitis																								
DOID:0040103	688	cefotiam allergy																								
DOID:0040104	689	toluene 2,4-diisocyanate allergic asthma																								
DOID:0050013	690	carbohydrate metabolism disease																								
DOID:0050155	691	sensory system disease																								
DOID:0050161	692	lower respiratory tract disease																								
DOID:0050177	693	monogenic disease																								
DOID:0050269	694	Trichomonas vaginalis trichomoniasis																								
DOID:0050270	695	Trichomonas tenax trichomoniasis																								
DOID:0050589	696	inflammatory bowel disease																								
DOID:0050596	697	taeniasis																								
DOID:0050615	698	respiratory system cancer																								
DOID:0050624	699	gastrointestinal system benign neoplasm																								
DOID:0050686	700	organ system cancer																								
DOID:0050687	701	cell type cancer																								
DOID:0050700	702	cardiomyopathy																								
DOID:0050735	703	X-linked monogenic disease																								
DOID:0050736	704	autosomal dominant disease																								
DOID:0050737	705	autosomal recessive disease																								
DOID:0050739	706	autosomal genetic disease																								
DOID:0050820	708	atrioventricular block																								
DOID:0050825	709	endocardium disease																								
DOID:0050828	710	artery disease																								
DOID:0050890	711	synucleinopathy																								
DOID:0060036	712	intrinsic cardiomyopathy																								
DOID:0060057	713	gluten allergy																								
DOID:0060058	714	lymphoma																								
DOID:0060072	715	benign neoplasm																								
DOID:0060084	716	cell type benign neoplasm																								
DOID:0060089	717	endocrine organ benign neoplasm																								
DOID:0060091	718	cardiovascular organ benign neoplasm																								
DOID:0060100	719	musculoskeletal system cancer																								
DOID:0060119	720	pharynx cancer																								
DOID:0060121	721	integumentary system benign neoplasm																								
DOID:0060122	722	integumentary system cancer																								
DOID:0060158	723	acquired metabolic disease																								
DOID:0060180	724	colitis																								
DOID:0060262	725	gallbladder disease																								
DOID:0060388	726	chromosomal deletion syndrome																								
DOID:0060492	727	chicken egg allergy																								
DOID:0060495	728	shellfish allergy																								
DOID:0060497	729	pollen allergy																								
DOID:0060498	730	Timothy grass allergy																								
DOID:0060501	731	metal allergy																								
DOID:0060503	732	fruit allergy																								
DOID:0060504	733	apple allergy																								
DOID:0060505	734	apricot allergy																								
DOID:0060506	735	cherry allergy																								
DOID:0060507	736	Indian plum allergy																								
DOID:0060508	737	orange allergy																								
DOID:0060509	738	melon allergy																								
DOID:0060510	739	peach allergy																								
DOID:0060511	740	plum allergy																								
DOID:0060512	741	tomato allergy																								
DOID:0060513	742	fish allergy																								
DOID:0060514	743	Atlantic cod allergy																								
DOID:0060515	744	Atlantic salmon allergy																								
DOID:0060516	745	carp allergy																								
DOID:0060517	746	zebrafish allergy																								
DOID:0060518	747	rainbow trout allergy																								
DOID:0060519	748	beta-lactam allergy																								
DOID:0060521	749	cow milk allergy																								
DOID:0060522	750	goat milk allergy																								
DOID:0060523	751	mollusc allergy																								
DOID:0060524	752	crustacean allergy																								
DOID:0060525	753	brown shrimp allergy																								
DOID:0060526	754	crab allergy																								
DOID:0060527	755	Indian prawn allergy																								
DOID:0060528	756	tiger prawn allergy																								
DOID:0060529	757	white shrimp allergy																								
DOID:0060530	758	snail allergy																								
DOID:0060531	759	horned turban snail allergy																								
DOID:0060532	760	latex allergy																								
DOID:0070004	761	myeloid neoplasm																								
DOID:0080001	762	bone disease																								
DOID:0080012	763	X-linked recessive disease																								
DOID:0080014	764	chromosomal disease																								
DOID:0080355	765	hepatobiliary system cancer																								
DOID:10003	766	sensorineural hearing loss																								
DOID:10155	767	intestinal cancer																								
DOID:10273	768	heart conduction disease																								
DOID:10316	769	pneumoconiosis																								
DOID:1037	770	lymphoid leukemia																								
DOID:10493	771	adrenal cortical hypofunction																								
DOID:10591	772	pre-eclampsia																								
DOID:1074	773	kidney failure																								
DOID:10763	774	hypertension																								
DOID:10854	775	salivary gland disease																								
DOID:10883	776	herpangina																								
DOID:1091	777	tooth disease																								
DOID:10974	778	oophoritis																								
DOID:1100	779	ovarian disease																								
DOID:1116	780	pertussis																								
DOID:11180	781	non-suppurative otitis media																								
DOID:11266	782	Hantavirus hemorrhagic fever with renal syndrome																								
DOID:1176	783	bronchial disease																								
DOID:120	784	female reproductive organ cancer																								
DOID:121	785	vaginal disease																								
DOID:12176	786	goiter																								
DOID:1222	787	cartilage disease																								
DOID:12359	788	endocrine exophthalmos																								
DOID:1240	789	leukemia																								
DOID:1247	790	blood coagulation disease																								
DOID:1285	791	rectal disease																								
DOID:1289	792	neurodegenerative disease																								
DOID:1324	793	lung cancer																								
DOID:13268	794	porphyria																								
DOID:13272	795	Klebsiella pneumonia																								
DOID:13276	796	Mycoplasma pneumoniae pneumonia																								
DOID:13564	797	aspergillosis																								
DOID:14566	798	neoplasm																								
DOID:14654	799	prostatitis																								
DOID:1475	800	lymphangioma																								
DOID:15	801	reproductive system disease																								
DOID:150	802	disease of mental health																								
DOID:1529	803	penile disease																								
DOID:1558	804	angioedema																								
DOID:1561	805	cognitive disorder																								
DOID:1602	806	lymphadenitis																								
DOID:170	807	endocrine gland cancer																								
DOID:178	808	vascular disease																								
DOID:18	809	urinary system disease																								
DOID:1891	810	optic nerve disease																								
DOID:1894	811	noninfectious dermatoses of eyelid																								
DOID:1909	812	melanoma																								
DOID:1927	813	sphingolipidosis																								
DOID:193	814	reproductive organ cancer																								
DOID:1962	815	fallopian tube disease																								
DOID:201	816	connective tissue cancer																								
DOID:2059	817	vulvar disease																								
DOID:2113	818	coccidiosis																								
DOID:2115	819	B cell deficiency																								
DOID:214	820	teeth hard tissue disease																								
DOID:2163	821	nasal cavity disease																								
DOID:2214	822	inherited blood coagulation disease																								
DOID:2218	823	blood platelet disease																								
DOID:2237	824	hepatitis																								
DOID:225	825	syndrome																								
DOID:2253	826	cervix disease																								
DOID:2277	827	gonadal disease																								
DOID:229	828	female reproductive system disease																								
DOID:2345	829	plasma protein metabolism disease																								
DOID:2348	830	arteriosclerotic cardiovascular disease																								
DOID:2349	831	arteriosclerosis																								
DOID:2452	832	thrombophilia																								
DOID:2468	833	psychotic disorder																								
DOID:2519	834	testicular disease																								
DOID:2529	835	splenic disease																								
DOID:2531	836	hematologic cancer																								
DOID:2537	837	inflammatory and toxic neuropathy																								
DOID:2557	838	chondromalacia																								
DOID:2583	839	agammaglobulinemia																								
DOID:26	840	pancreas disease																								
DOID:2723	841	dermatitis																								
DOID:2730	842	epidermolysis bullosa																								
DOID:2731	843	vesiculobullous skin disease																								
DOID:2742	844	auditory system disease																								
DOID:2789	845	parasitic protozoa infectious disease																								
DOID:2797	846	idiopathic interstitial pneumonia																								
DOID:2825	847	nose disease																								
DOID:2914	848	immune system disease																								
DOID:2916	849	hypersensitivity reaction type IV disease																								
DOID:299	850	adenocarcinoma																								
DOID:3042	851	allergic contact dermatitis																								
DOID:3082	852	interstitial lung disease																								
DOID:3093	853	nervous system cancer																								
DOID:3118	854	hepatobiliary disease																								
DOID:3119	855	gastrointestinal system cancer																								
DOID:3128	856	anus disease																								
DOID:3133	857	acute porphyria																								
DOID:319	858	spinal cord disease																								
DOID:3211	859	lysosomal storage disease																								
DOID:3213	860	demyelinating disease																								
DOID:3342	861	bone inflammation disease																								
DOID:3388	862	periodontal disease																								
DOID:345	863	uterine disease																								
DOID:3454	864	brain infarction																								
DOID:3463	865	breast disease																								
DOID:3480	866	uveal disease																								
DOID:3488	867	cellulitis																								
DOID:3571	868	liver cancer																								
DOID:363	869	uterine cancer																								
DOID:365	870	bladder disease																								
DOID:3660	871	wheat allergy																								
DOID:3697	872	acute transudative otitis media																								
DOID:374	873	nutrition disease																								
DOID:3905	874	lung carcinoma																								
DOID:3952	875	adrenal cortex disease																								
DOID:403	876	mouth disease																								
DOID:409	877	liver disease																								
DOID:4138	878	bile duct disease																								
DOID:4159	879	skin cancer																								
DOID:419	880	scleroderma																								
DOID:4194	881	glucose metabolism disease																								
DOID:423	882	myopathy																								
DOID:4379	883	nut allergy																								
DOID:438	884	autoimmune disease of the nervous system																								
DOID:439	885	neuromuscular junction disease																								
DOID:440	886	neuromuscular disease																								
DOID:4483	887	rhinitis																								
